Prefix,Region
AB1,Scotland
AB10,Scotland
AB11,Scotland
AB12,Scotland
AB13,Scotland
AB14,Scotland
AB15,Scotland
AB16,Scotland
AB2,Scotland
AB21,Scotland
AB22,Scotland
AB23,Scotland
AB24,Scotland
AB25,Scotland
AB3,Scotland
AB30,Scotland
AB31,Scotland
AB32,Scotland
AB33,Scotland
AB34,Scotland
AB35,Scotland
AB36,Scotland
AB37,Scotland
AB38,Scotland
AB39,Scotland
AB4,Scotland
AB41,Scotland
AB42,Scotland
AB43,Scotland
AB44,Scotland
AB45,Scotland
AB5,Scotland
AB51,Scotland
AB52,Scotland
AB53,Scotland
AB54,Scotland
AB55,Scotland
AB56,Scotland
AB9,Scotland
AB99,Scotland
AL1,East of England
AL10,East of England
AL2,East of England
AL3,East of England
AL4,East of England
AL5,East of England
AL6,East of England
AL7,East of England
AL8,East of England
AL9,East of England
B1,West Midlands
B10,West Midlands
B11,West Midlands
B12,West Midlands
B13,West Midlands
B14,West Midlands
B15,West Midlands
B16,West Midlands
B17,West Midlands
B18,West Midlands
B19,West Midlands
B2,West Midlands
B20,West Midlands
B21,West Midlands
B22,West Midlands
B23,West Midlands
B24,West Midlands
B25,West Midlands
B26,West Midlands
B27,West Midlands
B28,West Midlands
B29,West Midlands
B3,West Midlands
B30,West Midlands
B31,West Midlands
B32,West Midlands
B33,West Midlands
B34,West Midlands
B35,West Midlands
B36,West Midlands
B37,West Midlands
B38,West Midlands
B4,West Midlands
B40,West Midlands
B42,West Midlands
B43,West Midlands
B44,West Midlands
B45,West Midlands
B46,West Midlands
B47,West Midlands
B48,West Midlands
B49,West Midlands
B5,West Midlands
B50,West Midlands
B6,West Midlands
B60,West Midlands
B61,West Midlands
B62,West Midlands
B63,West Midlands
B64,West Midlands
B65,West Midlands
B66,West Midlands
B67,West Midlands
B68,West Midlands
B69,West Midlands
B7,West Midlands
B70,West Midlands
B71,West Midlands
B72,West Midlands
B73,West Midlands
B74,West Midlands
B75,West Midlands
B76,West Midlands
B77,West Midlands
B78,West Midlands
B79,West Midlands
B8,West Midlands
B80,West Midlands
B9,West Midlands
B90,West Midlands
B91,West Midlands
B92,West Midlands
B93,West Midlands
B94,West Midlands
B95,West Midlands
B96,West Midlands
B97,West Midlands
B98,West Midlands
B99,West Midlands
BA1,South West England
BA10,South West England
BA11,South West England
BA12,South West England
BA13,South West England
BA14,South West England
BA15,South West England
BA16,South West England
BA2,South West England
BA20,South West England
BA21,South West England
BA22,South West England
BA3,South West England
BA4,South West England
BA5,South West England
BA6,South West England
BA7,South West England
BA8,South West England
BA9,South West England
BB0,North West England
BB1,North West England
BB10,North West England
BB11,North West England
BB12,North West England
BB18,North West England
BB2,North West England
BB3,North West England
BB4,North West England
BB5,North West England
BB6,North West England
BB7,North West England
BB8,North West England
BB9,North West England
BB94,North West England
BD1,Yorkshire and the Humber
BD10,Yorkshire and the Humber
BD11,Yorkshire and the Humber
BD12,Yorkshire and the Humber
BD13,Yorkshire and the Humber
BD14,Yorkshire and the Humber
BD15,Yorkshire and the Humber
BD16,Yorkshire and the Humber
BD17,Yorkshire and the Humber
BD18,Yorkshire and the Humber
BD19,Yorkshire and the Humber
BD2,Yorkshire and the Humber
BD20,Yorkshire and the Humber
BD21,Yorkshire and the Humber
BD22,Yorkshire and the Humber
BD23,Yorkshire and the Humber
BD24,Yorkshire and the Humber
BD3,Yorkshire and the Humber
BD4,Yorkshire and the Humber
BD5,Yorkshire and the Humber
BD6,Yorkshire and the Humber
BD7,Yorkshire and the Humber
BD8,Yorkshire and the Humber
BD9,Yorkshire and the Humber
BD97,Yorkshire and the Humber
BD98,Yorkshire and the Humber
BD99,Yorkshire and the Humber
BH1,South West England
BH10,South West England
BH11,South West England
BH12,South West England
BH13,South West England
BH14,South West England
BH15,South West England
BH16,South West England
BH17,South West England
BH18,South West England
BH19,South West England
BH2,South West England
BH20,South West England
BH21,South West England
BH22,South West England
BH23,South West England
BH24,South East England
BH25,South East England
BH3,South West England
BH31,South West England
BH4,South West England
BH5,South West England
BH6,South West England
BH7,South West England
BH8,South West England
BH9,South West England
BL0,North West England
BL1,North West England
BL11,North West England
BL2,North West England
BL3,North West England
BL4,North West England
BL5,North West England
BL6,North West England
BL7,North West England
BL78,North West England
BL8,North West England
BL9,North West England
BN1,South East England
BN10,South East England
BN11,South East England
BN12,South East England
BN13,South East England
BN14,South East England
BN15,South East England
BN16,South East England
BN17,South East England
BN18,South East England
BN2,South East England
BN20,South East England
BN21,South East England
BN22,South East England
BN23,South East England
BN24,South East England
BN25,South East England
BN26,South East England
BN27,South East England
BN3,South East England
BN4,South East England
BN41,South East England
BN42,South East England
BN43,South East England
BN44,South East England
BN45,South East England
BN5,South East England
BN50,South East England
BN51,South East England
BN52,South East England
BN6,South East England
BN7,South East England
BN8,South East England
BN88,South East England
BN9,South East England
BN99,South East England
BR1,London
BR2,London
BR3,London
BR4,London
BR5,London
BR6,London
BR7,London
BR8,South East England
BS0,South West England
BS1,South West England
BS10,South West England
BS11,South West England
BS12,South West England
BS13,South West England
BS14,South West England
BS15,South West England
BS16,South West England
BS17,South West England
BS18,South West England
BS19,South West England
BS2,South West England
BS20,South West England
BS21,South West England
BS22,South West England
BS23,South West England
BS24,South West England
BS25,South West England
BS26,South West England
BS27,South West England
BS28,South West England
BS29,South West England
BS3,South West England
BS30,South West England
BS31,South West England
BS32,South West England
