EmployerName,EmployerSize,Section,DiffMeanPercent
5 HERTFORD STREET LIMITED,250 to 499,N,-8.221799999999998
A & L RESTAURANTS LIMITED,500 to 999,I,5.180100000000001
A F A RESTAURANTS LIMITED,500 to 999,G,1.9176000000000002
A24 GROUP LIMITED,500 to 999,N,-13.72
A3D2 LIMITED,500 to 999,I,-5.22
AB AGRI LIMITED,1000 to 4999,C,15.996
AB INBEV UK LIMITED,1000 to 4999,C,-15.81
AB WORLD FOODS LIMITED,250 to 499,C,-7.8606
ABBOTT MEAD VICKERS.BBDO LIMITED,250 to 499,M,-6.044400000000002
ABC TEACHERS LIMITED,1000 to 4999,N,7.0152
ABC TEACHERS LIMITED,1000 to 4999,P,7.0152
ABELLIO EAST ANGLIA LIMITED,1000 to 4999,H,20.049
Abellio London Ltd,1000 to 4999,H,0.4356
ABF GRAIN PRODUCTS LIMITED,"5000 to 19,999",C,-7.030400000000001
ABM FACILITY SERVICES SCOTLAND LIMITED,500 to 999,N,2.0355
ABM FACILITY SERVICES UK LIMITED,1000 to 4999,N,0.9414
ACADEMY MUSIC GROUP LIMITED,250 to 499,R,34.02
ACCENTURE (UK) LIMITED,"5000 to 19,999",M,26.3693
ACCESS SELF STORAGE  LIMITED,250 to 499,H,15.1927
ACCESSORIZE LIMITED,1000 to 4999,G,37.7715
ACCOR UK BUSINESS & LEISURE HOTELS LIMITED,1000 to 4999,I,11.438
ACCURO FM LTD,250 to 499,N,42.589600000000004
ACORN LIMITED,250 to 499,L,56.349999999999994
Activenewham,250 to 499,R,2.7720000000000002
Activenewham,250 to 499,R,2.7720000000000002
Activenewham,250 to 499,R,2.7720000000000002
Activenewham,250 to 499,R,2.7720000000000002
ACTURIS LIMITED,250 to 499,J,29.2528
A-DAY CONSULTANTS LIMITED,500 to 999,N,45.494400000000006
Addaction,1000 to 4999,Q,6.612
Addaction,1000 to 4999,Q,6.612
Addaction,1000 to 4999,Q,6.612
ADDISON LEE LIMITED,1000 to 4999,H,0.0
ADDISON LEE LIMITED,1000 to 4999,H,0.0
ADECCO UK LIMITED,"5000 to 19,999",N,-0.24900000000000025
ADELIE FOODS LIMITED,1000 to 4999,C,11.186
ADM MILLING LIMITED,250 to 499,C,20.713800000000003
ADMIRAL RECRUITMENT LIMITED,250 to 499,N,3.4608
Advanced Travel Partners UK Ltd,250 to 499,N,19.9
ADVINIA CARE HOMES  LIMITED,1000 to 4999,Q,-0.889
ADVINIA HEALTH CARE  LIMITED,500 to 999,Q,24.843
AECOM LIMITED,1000 to 4999,M,26.162000000000003
AETNA GLOBAL BENEFITS (UK) LIMITED,250 to 499,K,80.36479999999999
AFH STORES UK LIMITED,1000 to 4999,G,8.25
AG SERVICE COMPANY LIMITED,1000 to 4999,N,27.918
Age UK,500 to 999,Q,8.690000000000001
Age UK Trading Cic,1000 to 4999,N,20.88
AGILISYS CONTACT SERVICES LIMITED,250 to 499,N,16.021099999999997
AGILISYS LIMITED,250 to 499,J,48.111000000000004
AGILISYS LIMITED,250 to 499,J,48.111000000000004
AGILISYS LIMITED,250 to 499,M,48.111000000000004
AGILISYS MANAGED SERVICES LIMITED,250 to 499,J,23.92
AGILISYS PROFESSIONAL SERVICES LIMITED,Less than 250,J,56.784
AGILISYS PROFESSIONAL SERVICES LIMITED,Less than 250,J,56.784
AGILISYS PROFESSIONAL SERVICES LIMITED,Less than 250,J,56.784
AGILITY LOGISTICS LIMITED,250 to 499,H,43.739399999999996
AGMAN HOLDINGS LIMITED,250 to 499,K,76.67
AGMAN HOLDINGS LIMITED,250 to 499,N,76.67
AH UK ANIMAL HEALTH (PVT) LTD,1000 to 4999,G,37.0
AIG EUROPE LIMITED,1000 to 4999,K,40.77
AIG LIFE LIMITED,250 to 499,K,-5.08
AIM COMMERCIAL CLEANING LIMITED,1000 to 4999,N,2.9124
AIRWAVE SOLUTIONS LIMITED,500 to 999,J,33.98010000000001
AITCH CARE HOMES (LONDON) LIMITED,500 to 999,N,-0.816
AKER SOLUTIONS LIMITED,1000 to 4999,C,22.0691
AKQA LIMITED,Less than 250,M,24.7
AKT II  LIMITED,250 to 499,M,31.225599999999996
ALARABY TELEVISION NETWORK LIMITED,250 to 499,J,8.677800000000001
ALDO UK LIMITED,250 to 499,G,23.993199999999998
ALEXANDER MANN SOLUTIONS LIMITED,1000 to 4999,N,10.2051
ALFA FINANCIAL SOFTWARE LIMITED,Less than 250,J,15.706900000000001
ALHCO GROUP LIMITED,250 to 499,K,52.82939999999999
